video_id,start_frame,end_frame,side
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),0,29,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),10,39,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),20,49,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),30,59,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),40,69,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),50,79,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),60,89,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),70,99,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),80,109,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),90,119,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),100,129,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),110,139,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),120,149,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),130,159,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),140,169,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),150,179,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),160,189,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),170,199,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),180,209,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),190,219,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),200,229,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),210,239,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),220,249,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),230,259,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),240,269,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),250,279,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),260,289,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),270,299,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),280,309,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),290,319,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),300,329,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),310,339,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),320,349,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),330,359,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),340,369,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),350,379,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),360,389,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),370,503,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),380,513,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),390,523,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),504,533,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),514,543,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),524,553,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),534,563,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),544,573,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),554,583,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),564,593,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),574,603,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),584,613,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),594,623,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),604,633,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),614,643,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),624,653,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),634,663,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),644,673,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),654,683,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),664,693,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),674,703,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),684,713,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),694,723,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),704,733,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),714,743,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),724,753,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),734,763,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),744,773,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),754,783,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),764,793,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),774,803,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),784,813,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),794,823,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),804,833,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),814,843,left
video_0_michiganmedicine (online-video-cutter.com) - Copy (2),824,853,left
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),1,30,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),11,40,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),21,50,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),31,60,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),41,70,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),51,80,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),61,90,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),71,100,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),81,110,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),91,120,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),101,130,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),111,140,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),121,150,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),131,160,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),141,170,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),151,180,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),161,190,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),171,200,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),181,210,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),191,220,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),201,230,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),211,240,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),221,250,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),231,260,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),241,270,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),251,280,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),261,290,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),271,300,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),281,310,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),291,320,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),301,330,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),311,340,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),321,350,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),331,360,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),341,370,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),351,380,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),361,390,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),371,400,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),381,410,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),391,420,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),401,430,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),411,440,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),421,450,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),431,460,right
video_10_Straight Leg Raise Supine - Ask Doctor Jo (online-video-cutter.com) - Copy (2),441,470,right
video_11_vitalrehabphysicaltherapy - Copy,0,30,right
video_11_vitalrehabphysicaltherapy - Copy,11,40,right
video_11_vitalrehabphysicaltherapy - Copy,21,50,right
video_11_vitalrehabphysicaltherapy - Copy,31,60,right
video_11_vitalrehabphysicaltherapy - Copy,41,70,right
video_11_vitalrehabphysicaltherapy - Copy,51,80,right
video_11_vitalrehabphysicaltherapy - Copy,61,90,right
video_11_vitalrehabphysicaltherapy - Copy,71,100,right
video_11_vitalrehabphysicaltherapy - Copy,81,110,right
video_11_vitalrehabphysicaltherapy - Copy,91,120,right
video_11_vitalrehabphysicaltherapy - Copy,101,130,right
video_11_vitalrehabphysicaltherapy - Copy,111,140,right
video_11_vitalrehabphysicaltherapy - Copy,121,150,right
video_11_vitalrehabphysicaltherapy - Copy,131,160,right
video_11_vitalrehabphysicaltherapy - Copy,141,170,right
video_11_vitalrehabphysicaltherapy - Copy,151,180,right
video_11_vitalrehabphysicaltherapy - Copy,161,190,right
video_11_vitalrehabphysicaltherapy - Copy,171,200,right
video_11_vitalrehabphysicaltherapy - Copy,181,210,right
video_11_vitalrehabphysicaltherapy - Copy,191,220,right
video_11_vitalrehabphysicaltherapy - Copy,201,230,right
video_11_vitalrehabphysicaltherapy - Copy,211,240,right
video_11_vitalrehabphysicaltherapy - Copy,221,250,right
video_11_vitalrehabphysicaltherapy - Copy,231,260,right
video_11_vitalrehabphysicaltherapy - Copy,241,270,right
video_11_vitalrehabphysicaltherapy - Copy,251,280,right
video_11_vitalrehabphysicaltherapy - Copy,261,290,right
video_11_vitalrehabphysicaltherapy - Copy,271,300,right
video_11_vitalrehabphysicaltherapy - Copy,281,310,right
